character;dialogue;class;pos_value;neg_value
LUKE;Hurry up! Come with me! What are you waiting for?! Speed ​​up!;neu;0.34521100708213776;0.6547889929178623
LUKE;Shape you!... Biggs?;neu;0.42600515319627064;0.5739948468037294
LUKE;I didn't know you were back! When did you come in?;neu;0.42320013794166034;0.5767998620583397
LUKE;"The Academy hasn't changed you much...but you came back so soon? Hey, what happened, didn't you get your commission?";neu;0.6829233148024391;0.31707668519756094
LUKE;Almost forgot. There's a battle going on! Right here in our system. Come and look!;neg;0.2133885356082045;0.7866114643917955
LUKE;There they are!;neu;0.4686773231144631;0.5313226768855369
LUKE;But there were many shots before...;neu;0.5325192292277754;0.4674807707722246
LUKE;"Hey, take it easy...";neu;0.4511850164010214;0.5488149835989786
LUKE;"...so I cut my power, turned off the afterburners, and got on Deak's trail. I was so close I thought I was going to fry my instruments. Skyhopper too bad. Uncle Owen was very upset. grounded for the rest of the season. You should have been there... it was fantastic.";pos;0.9395980044238158;0.0604019955761842
LUKE;"Look who's talking. Now that you've been around these giant ships, you're starting to look like my uncle. You've gone soft in the city...";neu;0.6201833044267363;0.3798166955732637
LUKE;"Well, things haven't been the same since you left, Biggs. It's been so... quiet.";neu;0.6181028658787392;0.3818971341212608
LUKE;What are you talking about?;neu;0.46055642532266594;0.5394435746773341
LUKE;Join the Rebellion?! You're kidding! How?;neg;0.22233334296250626;0.7776666570374937
LUKE;Sorry. I'm quiet. Listen to how quiet I am. You can barely hear me...;neu;0.5019608456390858;0.49803915436091417
LUKE;always trying to find them.;neu;0.5722704217550577;0.4277295782449423
LUKE;And I'm stuck here...;neu;0.3578585215636005;0.6421414784363995
LUKE;Not likely! I had to unsubscribe. There's been a lot of unrest among the Sand People since you left... they even invaded the outskirts of Anchorhead.;pos;0.9519395319589711;0.048060468041028925
LUKE;"I know, but he's got enough vaporizers to make the place worth it. He needs me for just one more season. I can't leave him now.";neu;0.6328743193076369;0.36712568069236307
LUKE;It couldn't happen here. You said so yourself. The Empire won't bother with that stone.;neu;0.27974847562335975;0.7202515243766403
LUKE;I'd like to go... Are you going to be here long?;neu;0.40333120313105175;0.5966687968689482
LUKE;Then I guess I won't see you.;neu;0.335569331566204;0.664430668433796
LUKE;"Well, I'll be at the Academy next season... after that who knows. I won't be drafted into the Imperial Starfleet for sure... Take care, you'll always be the best friend I have. ";pos;0.9657560655397815;0.03424393446021845
LUKE;"Looks like we don't have much of a choice, but I'll remind you.";neu;0.34434912568474546;0.6556508743152545
LUKE;But I was going into Toshi Station to get some power converters...;neu;0.5845752911641351;0.4154247088358649
LUKE;"Alright, let's go! And red, let's go. Well, let's go, Red, let's go.";neu;0.36690774875744775;0.6330922512425523
LUKE;Uncle Owen...;neu;0.7486072423398331;0.2513927576601669
LUKE;This R2 unit has a bad motivator. Look!;neg;0.22286206165749842;0.7771379383425016
LUKE;Uncle Owen...;neu;0.7486072423398331;0.2513927576601669
LUKE;And that one?;neu;0.5074628854217225;0.49253711457827754
LUKE;"Yes, take that off.";neu;0.4371675255054175;0.5628324744945825
LUKE;"Okay, let's go.";neu;0.4223977695167285;0.5776022304832715
LUKE;"It's not fair. Oh, Biggs is right. I'm never leaving here!";neu;0.35623437683908976;0.6437656231609102
LUKE;"Well, unless you can change the weather, speed up the harvest, or teleport me off this rock!";neu;0.3165949649232783;0.6834050350767217
LUKE;"Well, if there's a bright center in the universe, you're on the farthest planet.";neu;0.5837522094768876;0.41624779052311245
LUKE;"Uh, you can call me Luke.";neu;0.5358460416988927;0.4641539583011073
LUKE;Just Luke.;neu;0.5161019424565502;0.48389805754344983
LUKE;Hello.;neu;0.38888888888888884;0.6111111111111112
LUKE;You've got a lot of carbon scores here. Looks like you guys saw a lot of action.;neg;0.03754380349780456;0.9624561965021954
